iter	RMSE
0	6974.100884
1	6792.392186
2	6555.302423
3	6395.880521
4	6209.912246
5	6050.647829
6	5942.14068
7	5849.206591
8	5761.955379
9	5704.99596
10	5613.611462
11	5577.227978
12	5535.252728
13	5482.953902
14	5475.679906
15	5469.123119
16	5416.285199
17	5409.916116
18	5403.876745
19	5369.110866
20	5349.581344
21	5313.774849
22	5299.039488
23	5237.079492
24	5231.762606
25	5226.703981
26	5211.279694
27	5206.408701
28	5192.869249
29	5188.336781
30	5154.476285
31	5150.229685
32	5109.08973
33	5070.685266
34	5066.270654
35	5062.428368
36	5024.010718
37	4998.322365
38	4972.429957
39	4951.325615
40	4947.869397
41	4929.595623
42	4892.798029
43	4882.953064
44	4860.891838
45	4857.882723
46	4848.032986
47	4844.92136
48	4842.157696
49	4839.364355
50	4836.370888
51	4777.73532
52	4760.710653
53	4743.77481
54	4724.656079
55	4719.875801
56	4710.082163
57	4705.298294
58	4703.01208
59	4701.014204
60	4692.914962
61	4675.889927
62	4659.104196
63	4635.329433
64	4633.345555
65	4625.220553
66	4611.029724
67	4605.439849
68	4576.501805
69	4551.671019
70	4550.078057
71	4533.033399
72	4529.198812
73	4527.729222
74	4476.870247
75	4475.327242
76	4461.514488
77	4450.062823
78	4442.470494
79	4399.589694
80	4391.763781
81	4384.472054
82	4383.029848
83	4377.58144
84	4374.753387
85	4337.055251
86	4333.422219
87	4299.040664
88	4294.305873
89	4273.775918
90	4263.803514
91	4252.347264
92	4240.145226
93	4214.232499
94	4202.719318
95	4197.381002
96	4192.441115
97	4170.930133
98	4139.608471
99	4129.450716
100	4112.596374
101	4105.683685
102	4099.62504
103	4097.864518
104	4090.189633
105	4082.893237
106	4057.996532
107	4039.307389
108	4014.478989
109	4013.245034
110	4010.297591
111	3996.109975
112	3982.036525
113	3973.565482
114	3966.125929
115	3961.530381
116	3949.702063
117	3936.386117
118	3930.86882
119	3917.053244
120	3895.887823
121	3894.066676
122	3892.562877
123	3879.441015
124	3874.102399
125	3870.109798
126	3857.958225
127	3839.76685
128	3838.447051
129	3827.018574
130	3818.396783
131	3817.428733
132	3807.082788
133	3806.147887
134	3796.160373
135	3788.101804
136	3782.699116
137	3775.608131
138	3774.621717
139	3769.966248
140	3762.307366
141	3752.936609
142	3746.281148
143	3738.874159
144	3728.142338
145	3721.182418
146	3715.931046
147	3714.033889
148	3705.196657
149	3699.334923
150	3690.56982
151	3689.759434
152	3688.982521
153	3683.715551
154	3676.448962
155	3670.201281
156	3664.944908
157	3659.248122
158	3655.135908
159	3649.510059
160	3644.781337
161	3637.819706
162	3630.827619
163	3622.445668
164	3621.701006
165	3604.941854
166	3600.658644
167	3597.446183
168	3592.752774
169	3586.760444
170	3580.94569
171	3578.399219
172	3569.378508
173	3563.63172
174	3557.696476
175	3550.645238
176	3546.453706
177	3545.764811
178	3545.104516
179	3541.8322
180	3536.040418
181	3533.290988
182	3521.309676
183	3520.777048
184	3517.11421
185	3514.873954
186	3509.447989
187	3507.470671
188	3504.171045
189	3501.347804
190	3498.803564
191	3491.389532
192	3490.872271
193	3488.584859
194	3487.346342
195	3486.740986
196	3477.33849
197	3467.423121
198	3466.294034
199	3462.087345
200	3461.349851
201	3452.280449
202	3449.144701
203	3444.800758
204	3443.980704
205	3439.507933
206	3435.251015
207	3431.820094
208	3425.890093
209	3422.122145
210	3421.055678
211	3416.165703
212	3415.620125
213	3410.293691
214	3406.933601
215	3401.053499
216	3397.273054
217	3390.71852
218	3387.060328
219	3382.119661
220	3377.501266
221	3373.900798
222	3366.743821
223	3361.729167
224	3357.706723
225	3353.596855
226	3350.099104
227	3345.137566
228	3342.517417
229	3342.086158
230	3336.066993
231	3335.57422
232	3330.827495
233	3324.629201
234	3317.376977
235	3315.310804
236	3312.583118
237	3305.777311
238	3302.39748
239	3297.998927
240	3297.296862
241	3293.304031
242	3292.841267
243	3292.413764
244	3289.199583
245	3287.655808
246	3283.590349
247	3277.963587
248	3274.995789
249	3271.298935
250	3267.865233
251	3264.108639
252	3261.183864
253	3256.376081
254	3255.341363
255	3251.981144
256	3247.080683
257	3243.279968
258	3240.384901
259	3237.359469
260	3234.613777
261	3232.250044
262	3226.254227
263	3221.468552
264	3220.210229
265	3216.100427
266	3214.293273
267	3210.934054
268	3207.425644
269	3204.361961
270	3203.434486
271	3198.750074
272	3195.745116
273	3192.810443
274	3189.845665
275	3186.947792
276	3183.999231
277	3179.862907
278	3175.088725
279	3172.277472
280	3168.986022
281	3164.928493
282	3162.347714
283	3161.93879
284	3159.33356
285	3157.456927
286	3154.320792
287	3152.053742
288	3150.841358
289	3146.061432
290	3142.91676
291	3139.912917
292	3137.196261
293	3134.629826
294	3132.611119
295	3130.805387
296	3130.447306
297	3127.581364
298	3125.199087
299	3122.796396
300	3122.432918
301	3117.825814
302	3115.632495
303	3114.055242
304	3111.371004
305	3109.288493
306	3105.35434
307	3100.800059
308	3098.231408
309	3097.52854
310	3095.378589
311	3092.489176
312	3089.03012
313	3088.244985
314	3086.334398
315	3082.399589
316	3079.713256
317	3079.358081
318	3076.518607
319	3075.022393
320	3072.465138
321	3069.905577
322	3066.3753
323	3065.570317
324	3064.563283
325	3062.121606
326	3059.476349
327	3056.78431
328	3054.429933
329	3052.485313
330	3052.098978
331	3049.706071
332	3049.007429
333	3047.161452
334	3046.82816
335	3042.324328
336	3040.273874
337	3038.398375
338	3036.116682
339	3032.506385
340	3031.100953
341	3029.122524
342	3026.211699
343	3025.201342
344	3024.883546
345	3022.024339
346	3020.215905
347	3019.907153
348	3015.438477
349	3015.139516
350	3012.296149
351	3010.340679
352	3008.064955
353	3004.806048
354	3000.913073
355	2997.212202
356	2995.008194
357	2992.449327
358	2990.158513
359	2989.863
360	2987.777606
361	2986.423061
362	2984.847042
363	2983.295074
364	2983.010368
365	2981.6138
366	2979.885888
367	2979.609331
368	2977.496044
369	2976.001145
370	2974.921426
371	2974.313398
372	2972.143718
373	2970.242516
374	2969.550468
375	2967.747009
376	2965.849991
377	2965.587207
378	2965.314274
379	2961.844646
380	2958.481658
381	2957.424725
382	2956.785273
383	2954.08815
384	2953.251709
385	2950.624378
386	2949.061145
387	2946.981779
388	2944.972361
389	2942.867752
390	2941.327235
391	2938.698418
392	2936.820329
393	2935.359981
394	2932.971173
395	2929.585572
396	2925.921233
397	2923.380016
398	2922.283121
399	2919.776521
400	2919.523735
401	2918.173991
402	2915.77988
403	2914.706449
404	2912.428881
405	2910.178717
406	2908.863561
407	2907.233082
408	2904.720415
409	2904.476369
410	2903.228088
411	2901.830657
412	2898.821061
413	2896.507068
414	2894.586139
415	2891.47918
416	2888.344224
417	2888.088435
418	2885.435799
419	2884.883397
420	2883.479194
421	2883.244804
422	2882.076678
423	2880.107921
424	2878.629198
425	2878.165245
426	2875.486706
427	2874.847717
428	2873.395553
429	2872.667574
430	2869.045188
431	2867.812716
432	2866.572147
433	2864.752267
434	2864.508242
435	2863.327759
436	2862.379052
437	2861.658992
438	2861.425144
439	2861.209584
440	2860.060791
441	2858.505398
442	2857.971995
443	2857.084562
444	2855.086926
445	2853.287037
446	2852.785753
447	2852.175943
448	2850.734772
449	2850.108
450	2849.432279
451	2849.223346
452	2847.258591
453	2847.056411
454	2846.022331
455	2844.518471
456	2843.545827
457	2841.107688
458	2839.774921
459	2839.194992
460	2838.443851
461	2836.85209
462	2836.201805
463	2833.318976
464	2831.854297
465	2830.039247
466	2828.638972
467	2827.448673
468	2825.656199
469	2825.45365
470	2823.547637
471	2821.190044
472	2820.996642
473	2819.02024
474	2817.886659
475	2817.693055
476	2816.518842
477	2816.331234
478	2816.062281
479	2815.031324
480	2814.393174
481	2812.472818
482	2811.322591
483	2810.986809
484	2809.146396
485	2807.762403
486	2807.581874
487	2807.087264
488	2806.912587
489	2806.524538
490	2805.334631
491	2804.271873
492	2804.085014
493	2802.240557
494	2797.497874
495	2796.884827
496	2795.024989
497	2792.873831
498	2791.479666
499	2790.466485
500	2789.245126
501	2787.943841
502	2786.858742
503	2785.288151
504	2782.814104
505	2780.421983
506	2778.450466
507	2777.608794
508	2777.437406
509	2776.545573
510	2773.282294
511	2771.174089
512	2771.013177
513	2768.376818
514	2766.364069
515	2764.612878
516	2761.495258
517	2760.655718
518	2759.472394
519	2758.416431
520	2756.758357
521	2755.538622
522	2754.473607
523	2753.75159
524	2752.604395
525	2751.705905
526	2750.714468
527	2750.251566
528	2746.602843
529	2746.025879
530	2744.474357
531	2744.309651
532	2743.976695
533	2742.216381
534	2739.992666
535	2738.5304
536	2737.147347
537	2736.218772
538	2736.066754
539	2735.910984
540	2735.012196
541	2734.046292
542	2733.60285
543	2732.840734
544	2731.472191
545	2730.086785
546	2729.200689
547	2726.921753
548	2726.042101
549	2725.889547
550	2724.983506
551	2723.477246
552	2722.15793
553	2720.869469
554	2719.818203
555	2718.96013
556	2717.99347
557	2717.845828
558	2716.13471
559	2714.6679
560	2713.46539
561	2713.144289
562	2711.769196
563	2710.944599
564	2709.773694
565	2708.100799
566	2706.975265
567	2705.60482
568	2704.438936
569	2703.103459
570	2702.856935
571	2702.066996
572	2700.964598
573	2699.581345
574	2698.460274
575	2696.675109
576	2695.835969
577	2694.999438
578	2693.557581
579	2692.379306
580	2691.632614
581	2690.67224
582	2689.994577
583	2688.962998
584	2688.048437
585	2687.347732
586	2687.079444
587	2686.321796
588	2686.185907
589	2686.050599
590	2685.126223
591	2684.001748
592	2683.855154
593	2683.011223
594	2681.351945
595	2680.406369
596	2680.270871
597	2677.959227
598	2676.828108
599	2674.916261
600	2674.601404
601	2673.511042
602	2672.391649
603	2672.262666
604	2672.014036
605	2671.889301
606	2670.994566
607	2670.056202
608	2669.881805
609	2669.332497
610	2668.445896
611	2667.187078
612	2666.473442
613	2665.933824
614	2665.804789
615	2665.442991
616	2664.240102
617	2663.563581
618	2662.191258
619	2660.795168
620	2660.676751
621	2659.223349
622	2658.763987
623	2658.281715
624	2658.158943
625	2656.227508
626	2654.846787
627	2653.682489
628	2652.828883
629	2651.491032
630	2650.560007
631	2649.916462
632	2649.108054
633	2648.566867
634	2647.819354
635	2647.119055
636	2645.725487
637	2645.597303
638	2644.798333
639	2644.677576
640	2644.562613
641	2643.208608
642	2642.202041
643	2641.214167
644	2641.103544
645	2639.831984
646	2639.267525
647	2638.418667
648	2637.750282
649	2637.161854
650	2637.05281
651	2636.220927
652	2635.372446
653	2634.836615
654	2633.221134
655	2632.91437
656	2632.162393
657	2630.98128
658	2630.752804
659	2630.648336
660	2630.08422
661	2628.971542
662	2628.212385
663	2628.090568
664	2627.975352
665	2625.970604
666	2624.81333
667	2623.920888
668	2622.72472
669	2622.035891
670	2620.963015
671	2620.191318
672	2619.273074
673	2618.694835
674	2618.100777
675	2617.6438
676	2616.563795
677	2615.856635
678	2615.746713
679	2615.090241
680	2614.580397
681	2614.480632
682	2614.376143
683	2613.578953
684	2613.480826
685	2611.91439
686	2611.57474
687	2611.147903
688	2610.077027
689	2609.298906
690	2609.203534
691	2607.58343
692	2606.726398
693	2605.949161
694	2605.211239
695	2603.982271
696	2602.630525
697	2602.528257
698	2601.756955
699	2600.657575
700	2597.945832
701	2596.871546
702	2596.728135
703	2596.319618
704	2595.322043
705	2595.239434
706	2595.074938
707	2593.256446
708	2591.979021
709	2591.515747
710	2590.308965
711	2588.846888
712	2587.769441
713	2587.365254
714	2586.754884
715	2586.053088
716	2585.962678
717	2585.384751
718	2584.530766
719	2583.388776
720	2582.937932
721	2582.847572
722	2582.175535
723	2582.086087
724	2581.441334
725	2580.835989
726	2580.750532
727	2580.667555
728	2580.143721
729	2579.987783
730	2579.127433
731	2578.482633
732	2578.398318
733	2576.231534
734	2575.294286
735	2574.617959
736	2573.324906
737	2570.986214
738	2567.236728
739	2566.806511
740	2566.690776
741	2566.56832
742	2564.426617
743	2564.34832
744	2563.411811
745	2562.972136
746	2562.065763
747	2561.629775
748	2561.009705
749	2560.342643
750	2560.265614
751	2558.797153
752	2557.52232
753	2556.98358
754	2556.912079
755	2556.131701
756	2554.796974
757	2554.067075
758	2553.569477
759	2553.490323
760	2553.041074
761	2550.88128
762	2550.412922
763	2549.645107
764	2548.705778
765	2548.049117
766	2547.493821
767	2546.565938
768	2546.473374
769	2545.212612
770	2544.662859
771	2544.078485
772	2543.678551
773	2543.175258
774	2542.898156
775	2542.732536
776	2541.947207
777	2541.244765
778	2541.158259
779	2539.453922
780	2538.700174
781	2537.812001
782	2537.732175
783	2536.945391
784	2536.337004
785	2535.167938
786	2534.850321
787	2534.179833
788	2531.864772
789	2531.754259
790	2531.281515
791	2531.169551
792	2531.107036
793	2531.026303
794	2530.637759
795	2530.093226
796	2529.808517
797	2527.736607
798	2526.697714
799	2525.385455
800	2525.046025
801	2524.221854
802	2523.695359
803	2522.965188
804	2522.890044
805	2522.383851
806	2521.636259
807	2521.369253
808	2521.304261
809	2520.06925
810	2519.250795
811	2519.177525
812	2518.653765
813	2517.726934
814	2516.944273
815	2516.455227
816	2515.831738
817	2515.32864
818	2514.161835
819	2513.566068
820	2512.984522
821	2512.40491
822	2511.80988
823	2511.341411
824	2509.325919
825	2509.233676
826	2508.412043
827	2508.186657
828	2507.649404
829	2507.262784
830	2506.882531
831	2506.063477
832	2505.59025
833	2505.373681
834	2505.071808
835	2504.744623
836	2504.101317
837	2502.351431
838	2501.173245
839	2500.446429
840	2499.888635
841	2499.476249
842	2499.03488
843	2498.520546
844	2498.110688
845	2497.730374
846	2497.356722
847	2497.005738
848	2496.513314
849	2496.422903
850	2495.477007
851	2495.07749
852	2494.431596
853	2494.132367
854	2493.769346
855	2493.371636
856	2492.232041
857	2491.428285
858	2490.853573
859	2490.280551
860	2488.641701
861	2488.441572
862	2487.994373
863	2486.816977
864	2486.554879
865	2485.244179
866	2484.969747
867	2484.903423
868	2484.604524
869	2482.809571
870	2482.027395
871	2481.764017
872	2481.283471
