iter	Passed	Remaining
0	2	2773
1	5	2752
2	8	2748
3	11	2773
4	13	2760
5	16	2767
6	19	2756
7	22	2733
8	24	2727
9	27	2718
10	30	2725
11	32	2715
12	35	2703
13	38	2694
14	40	2680
15	43	2676
16	45	2650
17	48	2626
18	50	2602
19	52	2586
20	55	2567
21	57	2551
22	59	2531
23	61	2519
24	64	2499
25	66	2483
26	68	2472
27	70	2458
28	73	2446
29	75	2434
30	77	2428
31	79	2417
32	82	2407
33	84	2400
34	86	2389
35	88	2377
36	91	2368
37	93	2361
38	95	2358
39	98	2352
40	100	2345
41	102	2339
42	104	2334
43	107	2326
44	109	2321
45	111	2317
46	114	2313
47	116	2307
48	118	2299
49	120	2294
50	122	2287
51	125	2285
52	127	2282
53	130	2277
54	132	2275
55	134	2271
56	136	2266
57	139	2263
58	141	2259
59	144	2260
60	146	2259
61	148	2254
62	151	2248
63	153	2246
64	155	2239
65	157	2235
66	160	2230
67	162	2225
68	164	2221
69	166	2217
70	168	2206
71	170	2202
72	173	2196
73	175	2192
74	177	2189
75	179	2185
76	182	2184
77	184	2179
78	186	2175
79	188	2172
80	191	2167
81	193	2163
82	195	2157
83	198	2160
84	200	2159
85	202	2156
86	205	2152
87	207	2151
88	209	2148
89	212	2146
90	214	2143
91	216	2139
92	219	2138
93	221	2135
94	223	2132
95	225	2127
96	228	2123
97	230	2121
98	232	2119
99	234	2114
100	237	2112
101	239	2108
102	241	2105
103	244	2102
104	246	2099
105	248	2096
106	250	2093
107	253	2091
108	255	2089
109	257	2085
110	259	2080
111	261	2077
112	264	2074
113	266	2070
114	268	2066
115	270	2062
116	272	2059
117	275	2056
118	277	2052
119	279	2049
120	281	2046
121	283	2043
122	286	2040
123	288	2038
124	290	2035
125	292	2032
126	295	2029
127	297	2027
128	299	2024
129	302	2022
130	304	2020
131	306	2018
132	309	2015
133	311	2012
134	313	2008
135	315	2006
136	317	2002
137	320	1999
138	322	1996
139	324	1993
140	326	1991
141	329	1989
142	331	1986
143	333	1983
144	335	1980
145	338	1977
146	340	1974
147	342	1970
148	344	1968
149	346	1965
150	349	1962
151	351	1958
152	353	1955
153	355	1951
154	357	1948
155	359	1945
156	361	1942
157	364	1940
158	366	1936
159	368	1933
160	370	1931
161	372	1928
162	375	1926
163	377	1923
164	379	1920
165	381	1918
166	384	1918
167	387	1917
168	389	1916
169	391	1913
170	394	1911
171	396	1909
172	399	1908
173	401	1907
174	404	1905
175	406	1904
176	409	1901
177	411	1899
178	413	1896
179	415	1894
180	418	1892
181	420	1889
182	422	1887
183	425	1885
184	427	1884
185	430	1882
186	432	1881
187	434	1878
188	437	1876
189	439	1874
190	441	1871
191	444	1869
192	446	1866
193	448	1863
194	450	1861
195	453	1858
196	455	1856
197	457	1854
198	460	1851
199	462	1849
200	465	1849
201	467	1846
202	469	1843
203	472	1841
204	474	1838
205	476	1836
206	478	1833
207	480	1830
208	483	1828
209	485	1826
210	487	1823
211	489	1820
212	491	1817
213	494	1815
214	496	1812
215	498	1809
216	500	1807
217	503	1804
218	505	1802
219	507	1800
220	510	1798
221	512	1795
222	514	1793
223	516	1790
224	519	1787
225	521	1784
226	523	1782
227	525	1779
228	527	1777
229	529	1773
230	531	1770
231	534	1767
232	536	1765
233	538	1762
234	540	1759
235	542	1757
236	545	1755
237	547	1752
238	549	1750
239	552	1748
240	554	1745
241	556	1743
242	558	1741
243	561	1738
244	563	1737
245	565	1734
246	568	1732
247	570	1730
248	574	1731
249	576	1729
250	578	1727
251	581	1724
252	583	1721
253	585	1719
254	588	1717
255	590	1715
256	592	1713
257	594	1710
258	597	1708
259	599	1705
260	601	1703
261	603	1700
262	606	1698
263	608	1696
264	610	1693
265	613	1691
266	615	1689
267	617	1687
268	620	1685
269	622	1682
270	624	1680
271	626	1677
272	629	1675
273	631	1673
274	633	1670
275	636	1668
276	638	1666
277	640	1663
278	643	1661
279	645	1660
280	647	1658
281	650	1656
282	652	1653
283	654	1651
284	657	1648
285	659	1646
286	661	1644
287	663	1641
288	665	1638
289	668	1635
290	670	1633
291	672	1630
292	675	1628
293	677	1626
294	679	1624
295	681	1621
296	683	1618
297	686	1616
298	688	1614
299	690	1611
300	692	1609
301	695	1606
302	697	1604
303	699	1601
304	701	1598
305	703	1596
306	706	1594
307	708	1591
308	710	1589
309	712	1586
310	714	1583
311	717	1581
312	719	1579
313	721	1576
314	724	1574
315	726	1572
316	728	1569
317	730	1567
318	733	1565
319	735	1562
320	737	1560
321	739	1558
322	742	1555
323	744	1553
324	746	1551
325	749	1548
326	751	1547
327	753	1544
328	756	1542
329	758	1540
330	761	1539
331	764	1538
332	766	1535
333	769	1533
334	771	1531
335	773	1529
336	776	1526
337	778	1524
338	781	1523
339	783	1521
340	786	1519
341	788	1516
342	790	1514
343	793	1512
344	795	1509
345	797	1507
346	799	1504
347	801	1501
348	803	1499
349	806	1496
350	808	1494
351	810	1491
352	812	1489
353	815	1487
354	817	1485
355	819	1482
356	821	1480
357	824	1477
358	826	1475
359	828	1472
360	830	1470
361	832	1467
362	834	1465
363	837	1462
364	839	1459
365	841	1457
366	843	1454
367	845	1452
368	847	1449
369	849	1447
370	852	1444
371	854	1442
372	856	1439
373	858	1437
374	860	1434
375	862	1432
376	865	1429
377	867	1427
378	869	1424
379	871	1422
380	874	1420
381	876	1417
382	878	1415
383	880	1413
384	883	1410
385	885	1408
386	887	1406
387	889	1403
388	892	1401
389	894	1399
390	896	1396
391	899	1394
392	901	1392
393	903	1390
394	906	1387
395	908	1385
396	910	1383
397	912	1380
398	915	1378
399	917	1376
400	919	1373
401	921	1371
402	924	1369
403	926	1366
404	928	1364
405	931	1363
406	934	1361
407	936	1359
408	939	1356
409	941	1354
410	943	1351
411	945	1349
412	947	1346
413	949	1344
414	952	1342
415	954	1339
416	956	1337
417	958	1334
418	960	1332
419	962	1329
420	965	1327
421	967	1324
422	969	1322
423	971	1319
424	973	1317
425	976	1315
426	978	1312
427	980	1310
428	982	1308
429	984	1305
430	987	1303
431	989	1300
432	991	1298
433	993	1296
434	995	1293
435	998	1291
436	1000	1288
437	1002	1286
438	1004	1284
439	1006	1281
440	1009	1279
441	1011	1276
442	1013	1274
443	1015	1271
444	1017	1269
445	1019	1266
446	1022	1264
447	1024	1262
448	1026	1259
449	1028	1257
450	1030	1255
451	1033	1252
452	1035	1250
453	1037	1248
454	1039	1245
455	1042	1243
456	1044	1240
457	1046	1238
458	1048	1235
459	1050	1233
460	1052	1231
461	1055	1228
462	1057	1226
463	1059	1223
464	1061	1221
465	1064	1219
466	1066	1216
467	1068	1214
468	1070	1212
469	1072	1209
470	1075	1207
471	1077	1205
472	1079	1202
473	1081	1200
474	1083	1197
475	1085	1195
476	1088	1192
477	1090	1190
478	1092	1188
479	1094	1185
480	1096	1183
481	1098	1181
482	1101	1178
483	1103	1176
484	1105	1174
485	1107	1171
486	1109	1169
487	1112	1166
488	1114	1164
489	1116	1161
490	1118	1159
491	1121	1157
492	1123	1155
493	1125	1152
494	1128	1150
495	1130	1148
496	1132	1146
497	1134	1144
498	1137	1141
499	1139	1139
500	1141	1136
501	1143	1134
502	1146	1132
503	1148	1130
504	1150	1127
505	1152	1125
506	1155	1123
507	1157	1121
508	1159	1118
509	1161	1116
510	1164	1114
511	1166	1111
512	1168	1109
513	1171	1107
514	1173	1105
515	1175	1102
516	1178	1100
517	1180	1098
518	1182	1096
519	1184	1093
520	1187	1091
521	1189	1088
522	1191	1086
523	1193	1084
524	1195	1082
525	1198	1079
526	1200	1077
527	1202	1074
528	1204	1072
529	1206	1070
530	1209	1067
531	1211	1065
532	1213	1063
533	1215	1060
534	1217	1058
535	1220	1056
536	1222	1054
537	1224	1051
538	1227	1049
539	1229	1047
540	1231	1044
541	1233	1042
542	1236	1040
543	1238	1037
544	1240	1035
545	1242	1033
546	1245	1031
547	1247	1028
548	1249	1026
549	1251	1024
550	1254	1021
551	1256	1019
552	1258	1017
553	1260	1014
554	1263	1012
555	1265	1010
556	1267	1008
557	1269	1005
558	1271	1003
559	1274	1001
560	1276	999
561	1279	996
562	1281	994
563	1283	992
564	1285	989
565	1287	987
566	1290	985
567	1292	983
568	1294	980
569	1297	978
570	1299	976
571	1301	973
572	1303	971
573	1306	969
574	1309	968
575	1312	966
576	1314	963
577	1317	961
578	1319	959
579	1321	956
580	1323	954
581	1326	952
582	1328	950
583	1330	947
584	1332	945
585	1335	943
586	1337	940
587	1339	938
588	1341	936
589	1343	933
590	1346	931
591	1348	929
592	1350	927
593	1353	924
594	1355	922
595	1358	920
596	1360	918
597	1362	916
598	1365	914
599	1367	911
600	1369	909
601	1372	907
602	1374	905
603	1376	902
604	1380	901
605	1382	898
606	1384	896
607	1387	894
608	1389	891
609	1391	889
610	1393	887
611	1395	885
612	1398	882
613	1400	880
614	1402	878
615	1404	875
616	1407	873
617	1409	871
618	1412	869
619	1414	866
620	1416	864
621	1418	862
622	1421	860
623	1423	857
624	1425	855
625	1427	853
626	1430	850
627	1432	848
628	1434	846
629	1437	844
630	1439	841
631	1441	839
632	1444	837
633	1446	834
634	1448	832
635	1451	830
636	1453	828
637	1455	826
638	1458	823
639	1460	821
640	1462	819
641	1465	816
642	1467	814
643	1469	812
644	1471	810
645	1474	807
646	1476	805
647	1479	803
648	1481	801
649	1483	798
650	1486	796
651	1488	794
652	1490	792
653	1493	789
654	1495	787
655	1497	785
656	1500	783
657	1502	780
658	1504	778
659	1506	775
660	1508	773
661	1510	771
662	1512	768
663	1514	766
664	1516	763
665	1518	761
666	1520	759
667	1523	756
668	1525	754
669	1527	752
670	1529	749
671	1531	747
672	1533	745
673	1535	742
674	1537	740
675	1539	738
676	1542	735
677	1544	733
678	1546	730
679	1548	728
680	1550	726
681	1552	723
682	1554	721
683	1556	719
684	1558	716
685	1560	714
686	1562	712
687	1565	709
688	1567	707
689	1569	705
690	1571	702
691	1573	700
692	1575	697
693	1577	695
694	1579	693
695	1581	690
696	1584	688
697	1586	686
698	1588	683
699	1590	681
700	1592	679
701	1594	676
702	1596	674
703	1598	672
704	1600	669
705	1602	667
706	1604	665
707	1607	662
708	1609	660
709	1611	658
710	1613	655
711	1615	653
712	1617	651
713	1619	648
714	1622	646
715	1624	644
716	1626	641
717	1628	639
718	1630	637
719	1632	634
720	1634	632
721	1636	630
722	1638	627
723	1640	625
724	1642	623
725	1645	620
726	1647	618
727	1648	616
728	1651	613
729	1653	611
730	1655	609
731	1657	606
732	1659	604
733	1661	602
734	1663	599
735	1665	597
736	1667	595
737	1669	592
738	1671	590
739	1674	588
740	1676	585
741	1678	583
742	1680	581
743	1683	579
744	1686	577
745	1688	574
746	1690	572
747	1692	570
748	1695	568
749	1697	565
750	1699	563
751	1702	561
752	1704	559
753	1706	556
754	1709	554
755	1711	552
756	1713	550
757	1716	547
758	1718	545
759	1721	543
760	1723	541
761	1725	539
762	1728	536
763	1730	534
764	1732	532
765	1735	530
766	1737	527
767	1740	525
768	1742	523
769	1744	521
770	1747	518
771	1749	516
772	1751	514
773	1754	512
774	1756	509
775	1758	507
776	1761	505
777	1763	503
778	1765	500
779	1767	498
780	1770	496
781	1772	494
782	1774	491
783	1777	489
784	1779	487
785	1781	485
786	1783	482
787	1786	480
788	1788	478
789	1790	475
790	1792	473
791	1795	471
792	1797	469
793	1799	466
794	1801	464
795	1803	462
796	1806	460
797	1808	457
798	1810	455
799	1812	453
800	1814	450
801	1817	448
802	1819	446
803	1822	444
804	1824	441
805	1826	439
806	1828	437
807	1831	435
808	1833	432
809	1835	430
810	1837	428
811	1840	426
812	1842	423
813	1844	421
814	1846	419
815	1849	416
816	1851	414
817	1853	412
818	1856	410
819	1858	407
820	1860	405
821	1862	403
822	1865	401
823	1867	398
824	1870	396
825	1873	394
826	1875	392
827	1877	390
828	1880	387
829	1882	385
830	1884	383
831	1887	381
832	1889	378
833	1891	376
834	1893	374
835	1895	371
836	1898	369
837	1900	367
838	1902	365
839	1904	362
840	1907	360
841	1909	358
842	1911	356
843	1914	353
844	1916	351
845	1918	349
846	1920	346
847	1922	344
848	1925	342
849	1927	340
850	1929	337
851	1931	335
852	1933	333
853	1936	331
854	1938	328
855	1941	326
856	1943	324
857	1945	322
858	1948	319
859	1950	317
860	1952	315
861	1955	312
862	1957	310
863	1959	308
864	1961	306
865	1964	303
866	1966	301
867	1968	299
868	1971	297
869	1973	294
870	1975	292
871	1977	290
872	1980	288
873	1982	285
874	1984	283
875	1986	281
876	1988	278
877	1991	276
878	1993	274
879	1996	272
880	1998	269
881	2000	267
882	2003	265
883	2005	263
884	2007	260
885	2009	258
886	2012	256
887	2014	254
888	2016	251
889	2019	249
890	2021	247
891	2023	245
892	2026	242
893	2028	240
894	2030	238
895	2032	235
896	2034	233
897	2036	231
898	2039	229
899	2041	226
900	2043	224
901	2045	222
902	2048	220
903	2050	217
904	2052	215
905	2054	213
906	2057	210
907	2060	208
908	2062	206
909	2065	204
910	2067	201
911	2069	199
912	2071	197
913	2074	195
914	2076	192
915	2078	190
916	2080	188
917	2083	186
918	2085	183
919	2087	181
920	2089	179
921	2091	176
922	2094	174
923	2096	172
924	2098	170
925	2101	167
926	2103	165
927	2105	163
928	2108	161
929	2110	158
930	2112	156
931	2114	154
932	2117	152
933	2119	149
934	2122	147
935	2124	145
936	2126	142
937	2128	140
938	2131	138
939	2133	136
940	2135	133
941	2137	131
942	2140	129
943	2142	127
944	2144	124
945	2146	122
946	2148	120
947	2151	117
948	2153	115
949	2155	113
950	2158	111
951	2160	108
952	2162	106
953	2164	104
954	2166	102
955	2169	99
956	2171	97
957	2173	95
958	2176	93
959	2178	90
960	2180	88
961	2182	86
962	2184	83
963	2186	81
964	2189	79
965	2191	77
966	2193	74
967	2195	72
968	2197	70
969	2200	68
970	2202	65
971	2204	63
972	2206	61
973	2209	58
974	2211	56
975	2213	54
976	2215	52
977	2218	49
978	2220	47
979	2222	45
980	2225	43
981	2227	40
982	2229	38
983	2232	36
984	2234	34
985	2237	31
986	2239	29
987	2241	27
988	2244	24
989	2247	22
990	2249	20
991	2252	18
992	2254	15
993	2256	13
994	2258	11
995	2260	9
996	2262	6
997	2264	4
998	2266	2
999	2268	0
